hypothesis,kind,label,entity,sector,counterparty,counterparty_sector,lag_q,pearson,spearman,p_value,n,sign_expected,significant
P4,기업간,고객 매출 → 공급사 매출,Amazon,Hyperscaler,Micron Technology,DRAM,0,0.31,0.358,0.1317,25,+,False
P4,기업간,고객 매출 → 공급사 매출,Google,Hyperscaler,Micron Technology,DRAM,0,0.589,0.736,0.0019,25,+,True
P4,기업간,고객 매출 → 공급사 매출,Microsoft,Hyperscaler,Micron Technology,DRAM,0,0.285,0.31,0.1672,25,+,False
P4,기업간,고객 매출 → 공급사 매출,Oracle,Hyperscaler,Micron Technology,DRAM,4,0.268,-0.204,0.228,22,+,False
P4,기업간,고객 매출 → 공급사 매출,Dell Technologies,Server OEM,Micron Technology,DRAM,0,0.315,0.126,0.1636,21,+,False
P4,기업간,고객 매출 → 공급사 매출,Hewlett Packard Enterprise,Server OEM,Micron Technology,DRAM,0,0.116,0.216,0.5809,25,+,False
P4,기업간,고객 매출 → 공급사 매출,Super Micro Computer,Server OEM,Micron Technology,DRAM,1,0.564,0.194,0.0062,22,+,True
P4,기업간,고객 매출 → 공급사 매출,Amazon,Hyperscaler,Seagate Technology,NAND,1,0.4,0.423,0.0474,25,+,True
P4,기업간,고객 매출 → 공급사 매출,Amazon,Hyperscaler,Western Digital,NAND,3,0.904,0.925,0.0,15,+,True
P4,기업간,고객 매출 → 공급사 매출,Google,Hyperscaler,Seagate Technology,NAND,1,0.709,0.764,0.0001,25,+,True
P4,기업간,고객 매출 → 공급사 매출,Google,Hyperscaler,Western Digital,NAND,1,0.864,0.882,0.0,16,+,True
P4,기업간,고객 매출 → 공급사 매출,Microsoft,Hyperscaler,Seagate Technology,NAND,0,0.596,0.694,0.0013,26,+,True
P4,기업간,고객 매출 → 공급사 매출,Microsoft,Hyperscaler,Western Digital,NAND,1,0.529,0.527,0.0291,17,+,True
P4,기업간,고객 매출 → 공급사 매출,Oracle,Hyperscaler,Seagate Technology,NAND,4,0.146,-0.194,0.5065,23,+,False
P4,기업간,고객 매출 → 공급사 매출,Oracle,Hyperscaler,Western Digital,NAND,2,-0.794,-0.718,0.0002,16,+,False
P4,기업간,고객 매출 → 공급사 매출,Dell Technologies,Server OEM,Seagate Technology,NAND,0,0.093,0.069,0.6815,22,+,False
P4,기업간,고객 매출 → 공급사 매출,Dell Technologies,Server OEM,Western Digital,NAND,0,0.138,0.215,0.6112,16,+,False
P4,기업간,고객 매출 → 공급사 매출,Hewlett Packard Enterprise,Server OEM,Seagate Technology,NAND,0,0.307,0.409,0.1269,26,+,False
P4,기업간,고객 매출 → 공급사 매출,Hewlett Packard Enterprise,Server OEM,Western Digital,NAND,4,-0.795,-0.82,0.0007,14,+,False
P4,기업간,고객 매출 → 공급사 매출,Super Micro Computer,Server OEM,Seagate Technology,NAND,1,0.455,0.0,0.029,23,+,True
P4,기업간,고객 매출 → 공급사 매출,Super Micro Computer,Server OEM,Western Digital,NAND,4,-0.783,-0.745,0.0009,14,+,False
P4,기업간,고객 매출 → 공급사 매출,AMD,AI Chip,Seagate Technology,NAND,0,0.627,0.675,0.0008,25,+,True
P4,기업간,고객 매출 → 공급사 매출,AMD,AI Chip,Western Digital,NAND,1,0.955,0.935,0.0,16,+,True
P4,기업간,고객 매출 → 공급사 매출,NVIDIA,AI Chip,Seagate Technology,NAND,1,0.714,0.55,0.0001,24,+,True
P4,기업간,고객 매출 → 공급사 매출,NVIDIA,AI Chip,Western Digital,NAND,2,0.005,0.021,0.9856,15,+,False
P4,기업간,고객 매출 → 공급사 매출,Qualcomm,AI Chip,Seagate Technology,NAND,0,0.588,0.625,0.0016,26,+,True
P4,기업간,고객 매출 → 공급사 매출,Qualcomm,AI Chip,Western Digital,NAND,0,0.844,0.789,0.0,17,+,True
P4,기업간,고객 매출 → 공급사 매출,Micron Technology,DRAM,Applied Materials,HW Equipment,0,0.506,0.565,0.0099,25,+,True
P4,기업간,고객 매출 → 공급사 매출,Micron Technology,DRAM,FormFactor,HW Equipment,0,0.21,0.352,0.3131,25,+,False
P4,기업간,고객 매출 → 공급사 매출,Micron Technology,DRAM,KLA,HW Equipment,3,0.303,0.19,0.1502,24,+,False
P4,기업간,고객 매출 → 공급사 매출,Micron Technology,DRAM,Lam Research,HW Equipment,1,0.561,0.652,0.0036,25,+,True
P4,기업간,고객 매출 → 공급사 매출,Micron Technology,DRAM,MKS Instruments,HW Equipment,0,0.022,-0.148,0.9183,25,+,False
P4,기업간,고객 매출 → 공급사 매출,Micron Technology,DRAM,Onto Innovation,HW Equipment,0,0.092,0.288,0.6601,25,+,False
P4,기업간,고객 매출 → 공급사 매출,Intel,CPU,Applied Materials,HW Equipment,4,0.362,0.159,0.0981,22,+,False
P4,기업간,고객 매출 → 공급사 매출,Intel,CPU,FormFactor,HW Equipment,2,0.535,0.464,0.0085,23,+,True
P4,기업간,고객 매출 → 공급사 매출,Intel,CPU,KLA,HW Equipment,4,0.676,0.398,0.0004,23,+,True
P4,기업간,고객 매출 → 공급사 매출,Intel,CPU,Lam Research,HW Equipment,4,0.54,0.369,0.0078,23,+,True
P4,기업간,고객 매출 → 공급사 매출,Intel,CPU,MKS Instruments,HW Equipment,0,0.265,-0.299,0.2009,25,+,False
P4,기업간,고객 매출 → 공급사 매출,Intel,CPU,Onto Innovation,HW Equipment,2,0.52,0.378,0.011,23,+,True
P4,기업간,고객 매출 → 공급사 매출,AMD,AI Chip,Amkor Technology,OSAT/Packaging,0,0.814,0.819,0.0,25,+,True
P4,기업간,고객 매출 → 공급사 매출,NVIDIA,AI Chip,Amkor Technology,OSAT/Packaging,3,-0.484,-0.46,0.0308,20,+,False
P4,기업간,고객 매출 → 공급사 매출,Qualcomm,AI Chip,Amkor Technology,OSAT/Packaging,1,0.362,0.264,0.0822,24,+,False
P4,기업간,고객 매출 → 공급사 매출,Intel,CPU,Amkor Technology,OSAT/Packaging,3,0.452,0.286,0.0347,22,+,True
P4,기업간,고객 매출 → 공급사 매출,Amazon,Hyperscaler,Applied Optoelectronics,Server Networking,0,0.172,0.219,0.4119,25,+,False
P4,기업간,고객 매출 → 공급사 매출,Amazon,Hyperscaler,Arista Networks,Server Networking,0,-0.408,-0.363,0.0432,25,+,False
P4,기업간,고객 매출 → 공급사 매출,Amazon,Hyperscaler,Broadcom,Server Networking,4,-0.566,-0.468,0.028,15,+,False
P4,기업간,고객 매출 → 공급사 매출,Amazon,Hyperscaler,Coherent Corp,Server Networking,0,0.397,0.247,0.0494,25,+,True
P4,기업간,고객 매출 → 공급사 매출,Amazon,Hyperscaler,Cisco,Server Networking,4,0.1,0.216,0.6486,23,+,False
P4,기업간,고객 매출 → 공급사 매출,Amazon,Hyperscaler,Fabrinet,Server Networking,3,-0.441,-0.42,0.031,24,+,False
P4,기업간,고객 매출 → 공급사 매출,Amazon,Hyperscaler,Lumentum,Server Networking,0,0.688,0.61,0.0001,25,+,True
P4,기업간,고객 매출 → 공급사 매출,Amazon,Hyperscaler,MACOM Technology,Server Networking,4,-0.361,-0.291,0.0985,22,+,False
P4,기업간,고객 매출 → 공급사 매출,Amazon,Hyperscaler,Semtech,Server Networking,4,0.065,0.056,0.7846,20,+,False
P4,기업간,고객 매출 → 공급사 매출,Google,Hyperscaler,Applied Optoelectronics,Server Networking,0,0.087,0.012,0.6797,25,+,False
P4,기업간,고객 매출 → 공급사 매출,Google,Hyperscaler,Arista Networks,Server Networking,3,0.448,0.52,0.0367,22,+,True
P4,기업간,고객 매출 → 공급사 매출,Google,Hyperscaler,Broadcom,Server Networking,4,-0.486,-0.486,0.0665,15,+,False
P4,기업간,고객 매출 → 공급사 매출,Google,Hyperscaler,Coherent Corp,Server Networking,4,0.236,0.352,0.2783,23,+,False
P4,기업간,고객 매출 → 공급사 매출,Google,Hyperscaler,Cisco,Server Networking,4,0.556,0.61,0.0058,23,+,True
P4,기업간,고객 매출 → 공급사 매출,Google,Hyperscaler,Fabrinet,Server Networking,3,0.148,0.046,0.4887,24,+,False
P4,기업간,고객 매출 → 공급사 매출,Google,Hyperscaler,Lumentum,Server Networking,3,0.313,0.379,0.1361,24,+,False
P4,기업간,고객 매출 → 공급사 매출,Google,Hyperscaler,MACOM Technology,Server Networking,0,0.35,0.378,0.086,25,+,False
P4,기업간,고객 매출 → 공급사 매출,Google,Hyperscaler,Semtech,Server Networking,3,0.515,0.356,0.017,21,+,True
P4,기업간,고객 매출 → 공급사 매출,Microsoft,Hyperscaler,Applied Optoelectronics,Server Networking,4,0.07,0.196,0.7636,21,+,False
P4,기업간,고객 매출 → 공급사 매출,Microsoft,Hyperscaler,Arista Networks,Server Networking,0,-0.262,-0.213,0.2056,25,+,False
P4,기업간,고객 매출 → 공급사 매출,Microsoft,Hyperscaler,Broadcom,Server Networking,0,0.481,0.391,0.0369,19,+,True
P4,기업간,고객 매출 → 공급사 매출,Microsoft,Hyperscaler,Coherent Corp,Server Networking,3,0.332,0.516,0.1128,24,+,False
P4,기업간,고객 매출 → 공급사 매출,Microsoft,Hyperscaler,Cisco,Server Networking,2,0.401,0.424,0.0472,25,+,True
P4,기업간,고객 매출 → 공급사 매출,Microsoft,Hyperscaler,Fabrinet,Server Networking,4,0.177,0.112,0.4189,23,+,False
P4,기업간,고객 매출 → 공급사 매출,Microsoft,Hyperscaler,Lumentum,Server Networking,4,-0.541,-0.577,0.0077,23,+,False
P4,기업간,고객 매출 → 공급사 매출,Microsoft,Hyperscaler,MACOM Technology,Server Networking,4,0.125,0.031,0.5805,22,+,False
P4,기업간,고객 매출 → 공급사 매출,Microsoft,Hyperscaler,Semtech,Server Networking,1,0.201,0.224,0.3703,22,+,False
P4,기업간,고객 매출 → 공급사 매출,Oracle,Hyperscaler,Applied Optoelectronics,Server Networking,4,0.518,0.203,0.0162,21,+,True
P4,기업간,고객 매출 → 공급사 매출,Oracle,Hyperscaler,Arista Networks,Server Networking,0,0.333,0.3,0.1036,25,+,False
P4,기업간,고객 매출 → 공급사 매출,Oracle,Hyperscaler,Broadcom,Server Networking,4,0.893,0.764,0.0,15,+,True
P4,기업간,고객 매출 → 공급사 매출,Oracle,Hyperscaler,Coherent Corp,Server Networking,3,-0.539,-0.454,0.0066,24,+,False
P4,기업간,고객 매출 → 공급사 매출,Oracle,Hyperscaler,Cisco,Server Networking,0,0.463,0.495,0.0151,27,+,True
P4,기업간,고객 매출 → 공급사 매출,Oracle,Hyperscaler,Fabrinet,Server Networking,4,0.47,0.409,0.0238,23,+,True
P4,기업간,고객 매출 → 공급사 매출,Oracle,Hyperscaler,Lumentum,Server Networking,0,-0.596,-0.573,0.001,27,+,False
P4,기업간,고객 매출 → 공급사 매출,Oracle,Hyperscaler,MACOM Technology,Server Networking,4,0.378,0.103,0.0826,22,+,False
P4,기업간,고객 매출 → 공급사 매출,Oracle,Hyperscaler,Semtech,Server Networking,0,0.523,0.649,0.0105,23,+,True
P4,기업간,고객 매출 → 공급사 매출,Dell Technologies,Server OEM,Applied Optoelectronics,Server Networking,2,-0.622,-0.531,0.0059,18,+,False
P4,기업간,고객 매출 → 공급사 매출,Dell Technologies,Server OEM,Arista Networks,Server Networking,0,0.301,0.305,0.1966,20,+,False
P4,기업간,고객 매출 → 공급사 매출,Dell Technologies,Server OEM,Broadcom,Server Networking,1,-0.812,-0.776,0.0001,16,+,False
P4,기업간,고객 매출 → 공급사 매출,Dell Technologies,Server OEM,Coherent Corp,Server Networking,4,0.198,0.317,0.4313,18,+,False
P4,기업간,고객 매출 → 공급사 매출,Dell Technologies,Server OEM,Cisco,Server Networking,2,0.23,0.185,0.3296,20,+,False
P4,기업간,고객 매출 → 공급사 매출,Dell Technologies,Server OEM,Fabrinet,Server Networking,3,-0.816,-0.87,0.0,19,+,False
P4,기업간,고객 매출 → 공급사 매출,Dell Technologies,Server OEM,Lumentum,Server Networking,0,0.719,0.764,0.0002,22,+,True
